,,"This survey is conducted as part of [Organization]’s impact research initiatives and [[Author]] doctoral dissertation at the University of Fukui. Your participation is entirely voluntary and all responses will remain fully anonymous with no identifying information collected. Your anonymous survey responses may be analyzed, aggregated, and included in academic publications. By selecting “I agree and wish to participate” below, I affirm that I am providing my informed consent for my anonymous data to be used for these research and reporting purposes.",2. Which of the following best describes your career stage when you volunteered with [Organization]? (Select all that apply),4.  What were your countries of residence while volunteering at [Organization]? (Select all that apply),4. What best describes your role at [Organization]? (Select all that apply),5. How long have you volunteered/did you volunteer for [Organization]?,"1. Volunteering at [Organization] improved my technical skills (e.g., programming, data analysis, specific software).","2. Volunteering at [Organization] improved my communication skills (e.g., writing, presentation, proposals, verbal).","3. Volunteering at [Organization] helped me cultivate stronger leadership skills (e.g., guiding a team, decision-making).","4.  Volunteering at [Organization] improved my time management and organizational skills (e.g., meeting deadlines, prioritizing tasks, project planning).",5. My involvement with [Organization] led me to establish a larger number of professional connections.,"6. My involvement with [Organization] provided me with new professional insights, advice, or learning opportunities.",7. My involvement with [Organization] gave me access to valuable professional circles or communities.,8. My [Organization] experience positively impacted my overall career and academic development.,9.  My [Organization] experience made my resume/CV and LinkedIn profile more competitive for job or academic applications.,"10. My [Organization] experience provided skills that helped me secure a new job, promotion, or academic placement.",11.  My [Organization] experience helped me advance to roles with greater responsibility or leadership.,"12. Compared to before you joined [Organization], to what extent do you feel your professional skills and network have grown?"
,,I agree and wish to participate,Professional (0-3 years experience),,Operations,1-2 years,5,5,5,5,5,5,5,5,5,5,5,5
,,I agree and wish to participate,"Undergraduate student, Professional (11-20 years experience)",,HR,3-6 months,3,4,2,3,2,3,2,3,4,3,3,2
,,I agree and wish to participate,Undergraduate student,,"App Development, Cloud Engineering / IT, Web Development, Grant Writing / Research",1-2 years,4,5,4,4,5,4,4,4,5,4,5,5
,,I agree and wish to participate,"Master's student, Professional (0-3 years experience)",,"ML Engineering, Project Management",3-6 months,4,4,5,3,3,5,3,3,4,3,4,2
,,I agree and wish to participate,Professional (30+ years experience),,"Legal, Operations, CA RA ",2-3 years,1,1,1,1,2,1,1,1,1,1,1,1
,,I agree and wish to participate,Professional (11-20 years experience),,Scrum Master/PM,4-5 years,4,5,4,4,3,5,3,4,5,5,4,3
,,I agree and wish to participate,Professional (21-30 years experience),,"Grant Writing / Research, HR, Clinical research coordinator ",1-2 years,4,3,3,3,4,4,4,3,3,3,3,4
,,I agree and wish to participate,Master's student,,Grant Writing / Research,Less than 3 months,3,4,5,4,4,4,4,4,5,4,5,5
,,I agree and wish to participate,Professional (7-10 years experience),,"Marketing, Operations",6-12 months,3,4,4,3,5,5,5,4,5,5,4,4
,,I agree and wish to participate,Professional (4-6 years experience),,ML Engineering,6-12 months,4,4,2,3,3,4,3,4,5,5,5,3
,,I agree and wish to participate,"Master's student, Professional (0-3 years experience)",,Data Scientist ,6-12 months,4,4,4,5,5,5,5,5,5,4,5,5
,,I agree and wish to participate,Professional (11-20 years experience),,Cloud Engineering / IT,Less than 3 months,4,4,4,5,4,5,4,5,4,4,4,4
,,I agree and wish to participate,Master's student,,Grant Writing / Research,3-6 months,4,3,4,4,2,4,3,5,5,4,4,4
,,I agree and wish to participate,Professional (21-30 years experience),,"Web Development, HR, Marketing",6-12 months,4,4,3,3,3,4,3,3,3,3,2,3
,,I agree and wish to participate,Professional (4-6 years experience),,Project manager,3-6 months,5,5,5,5,5,5,5,5,5,5,5,5
,,I agree and wish to participate,"Undergraduate student, Master's student, Doctoral student, Professional (11-20 years experience)",,Operations,1-2 years,5,5,5,5,5,5,5,5,5,5,5,5
,,I agree and wish to participate,Undergraduate student,,"Grant Writing / Research, HR, Operations",6-12 months,4,4,4,4,5,5,5,4,5,4,4,5
,,I agree and wish to participate,Professional (0-3 years experience),,"ML Engineering, Grant Writing / Research, Operations",Less than 3 months,5,5,5,5,5,5,5,5,5,1,1,5
,,I agree and wish to participate,Undergraduate student,,Web Development,3-6 months,4,5,4,3,4,4,3,3,3,3,4,4
,,I agree and wish to participate,Master's student,,Marketing,Less than 3 months,2,3,3,3,3,3,3,3,3,3,3,3
,,I agree and wish to participate,Professional (0-3 years experience),,Legal,4-5 years,5,5,3,3,2,3,2,4,3,3,4,3
,,I agree and wish to participate,Professional (7-10 years experience),,Web Development,6-12 months,4,4,5,4,5,5,4,4,5,4,5,4
,,I agree and wish to participate,Professional (4-6 years experience),,Operations,6-12 months,3,4,5,5,5,5,5,3,3,3,3,5
,,I agree and wish to participate,Undergraduate student,,Web Development,Less than 3 months,5,5,5,5,4,5,5,5,5,5,5,5
,,I agree and wish to participate,"Master's student, Professional (0-3 years experience)",,Cloud Engineering / IT,6-12 months,4,4,4,4,4,4,4,4,4,4,4,4
,,I agree and wish to participate,Master's student,,Cloud Engineering / IT,2-3 years,4,4,4,4,5,5,5,4,3,3,3,4
,,I agree and wish to participate,Master's student,,Business Manager,Less than 3 months,3,3,3,5,2,5,3,3,4,3,3,3
,,I agree and wish to participate,Professional (0-3 years experience),,Legal,3-6 months,5,5,5,5,5,5,5,5,5,5,5,3
,,I agree and wish to participate,Undergraduate student,,Grant Writing / Research,6-12 months,2,2,3,2,1,2,3,1,3,1,1,2
,,I agree and wish to participate,"Undergraduate student, Master's student",,Cybersecurity ,6-12 months,4,3,4,4,2,4,3,3,3,4,4,4
,,I agree and wish to participate,Master's student,,Grant Writing / Research,Less than 3 months,2,2,2,3,2,4,3,3,3,2,3,3
,,I agree and wish to participate,Master's student,,"ML Engineering, Grant Writing / Research",Less than 3 months,1,1,1,1,1,1,1,1,1,1,1,1
,,I agree and wish to participate,Professional (7-10 years experience),,Prefer not to answer,3-6 months,1,1,1,1,1,1,1,1,1,1,1,1
,,I agree and wish to participate,Master's student,,HR,3-6 months,5,5,5,5,4,5,4,5,5,5,5,5
,,I agree and wish to participate,Professional (11-20 years experience),,"App Development, Cloud Engineering / IT, ML Engineering, Web Development, Business Development, Quality Assurance Engineering",1-2 years,4,4,5,5,5,5,5,5,5,4,4,4
,,I agree and wish to participate,Professional (0-3 years experience),,Grant Writing / Research,Less than 3 months,3,4,4,3,3,4,3,3,3,3,3,3
,,I agree and wish to participate,Doctoral student,,ML Engineering,3-6 months,2,1,1,2,2,1,2,2,1,1,1,2
,,I agree and wish to participate,Professional (0-3 years experience),,business analyst,6-12 months,4,4,4,4,3,3,3,3,4,4,3,3
,,I agree and wish to participate,Undergraduate student,,acoustic analysis(elderly),6-12 months,4,4,3,3,3,4,4,4,2,4,3,5
,,I agree and wish to participate,Undergraduate student,,Web Development,6-12 months,5,5,5,5,5,5,5,5,5,5,5,5
,,I agree and wish to participate,Professional (7-10 years experience),,HR,1-2 years,3,4,4,3,3,4,3,3,3,2,2,3
,,I agree and wish to participate,Master's student,,Operations,3-6 months,4,4,4,5,4,4,5,5,5,5,5,5
,,I agree and wish to participate,Master's student,,"App Development, ML Engineering",6-12 months,5,5,5,5,5,5,5,5,5,5,5,5
,,I agree and wish to participate,Master's student,,"ML Engineering, Business Development, HR, Marketing, Operations",6-12 months,4,5,5,5,5,5,5,4,4,4,4,5
,,I agree and wish to participate,"Undergraduate student, Professional (7-10 years experience)",,HR,2-3 years,5,5,5,5,5,5,5,5,5,5,5,4
,,I agree and wish to participate,Professional (11-20 years experience),,Legal,4-5 years,4,4,4,4,3,4,4,4,4,4,3,4
,,I agree and wish to participate,Undergraduate student,,"ML Engineering, Grant Writing / Research",3-6 months,4,5,4,3,3,5,5,5,4,4,3,3
,,I agree and wish to participate,Professional (0-3 years experience),,Grant Writing / Research,6-12 months,3,3,4,4,4,3,2,3,3,3,4,3
,,I agree and wish to participate,High school student,,Web Development,2-3 years,5,5,5,5,4,4,5,5,5,5,4,5
,,I agree and wish to participate,Undergraduate student,,ML Engineering,Less than 3 months,4,4,3,4,3,4,4,3,3,3,4,4
,,I agree and wish to participate,Undergraduate student,,"App Development, Cloud Engineering / IT, ML Engineering, Web Development, Business Development, HR, Marketing, Operations",6-12 months,4,5,5,5,5,4,4,5,5,4,4,4
,,I agree and wish to participate,Professional (7-10 years experience),,App Development,6-12 months,3,4,3,4,3,3,2,2,3,1,2,3
,,I agree and wish to participate,Master's student,,Operations,Less than 3 months,4,5,5,5,5,5,5,5,5,3,5,4
,,I agree and wish to participate,Professional (0-3 years experience),,Web Development,Less than 3 months,3,3,4,3,3,4,5,3,4,3,4,4
,,I agree and wish to participate,Professional (11-20 years experience),,"Grant Writing / Research, Technical Writer",2-3 years,4,4,3,3,4,4,4,4,4,3,3,4
,,I agree and wish to participate,"Master's student, Professional (21-30 years experience)",,App Development,1-2 years,4,3,3,3,4,4,4,3,3,2,2,3
,,I agree and wish to participate,Master's student,,Cloud Engineering / IT,4-5 years,4,4,4,4,4,4,4,4,4,4,4,4
,,I agree and wish to participate,Professional (0-3 years experience),,Project Volunteer,3-6 months,3,4,3,4,3,3,2,3,3,3,3,3
,,I agree and wish to participate,Master's student,,Grant Writing / Research,Less than 3 months,4,4,3,4,3,4,4,4,4,3,4,4
,,I agree and wish to participate,"Undergraduate student, Professional (0-3 years experience)",,UX/UI Design,6-12 months,5,5,5,5,5,5,5,5,5,5,5,5
